"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2013","Germany","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","5"
"2013","Germany","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Germany","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Estonia","Total","Males","Less than 18 years","Asylum applicant","Person","5"
"2013","Estonia","Total","Males","From 18 to 34 years","Asylum applicant","Person","50"
"2013","Estonia","Total","Males","From 35 to 64 years","Asylum applicant","Person","25"
"2013","Estonia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2013","Estonia","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Estonia","Total","Females","Less than 18 years","Asylum applicant","Person","5"
"2013","Estonia","Total","Females","From 18 to 34 years","Asylum applicant","Person","10"
"2013","Estonia","Total","Females","From 35 to 64 years","Asylum applicant","Person","5"
"2013","Estonia","Total","Females","65 years or over","Asylum applicant","Person","0"
"2013","Estonia","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Estonia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Estonia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Estonia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Estonia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Estonia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Ireland","Total","Males","Less than 18 years","Asylum applicant","Person","135"
"2013","Ireland","Total","Males","From 18 to 34 years","Asylum applicant","Person","325"
"2013","Ireland","Total","Males","From 35 to 64 years","Asylum applicant","Person","125"
"2013","Ireland","Total","Males","65 years or over","Asylum applicant","Person","5"
"2013","Ireland","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Ireland","Total","Females","Less than 18 years","Asylum applicant","Person","125"
"2013","Ireland","Total","Females","From 18 to 34 years","Asylum applicant","Person","140"
"2013","Ireland","Total","Females","From 35 to 64 years","Asylum applicant","Person","85"
"2013","Ireland","Total","Females","65 years or over","Asylum applicant","Person","5"
"2013","Ireland","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Ireland","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Ireland","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Ireland","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Ireland","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Ireland","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Greece","Total","Males","Less than 18 years","Asylum applicant","Person","705"
"2013","Greece","Total","Males","From 18 to 34 years","Asylum applicant","Person","4,710"
"2013","Greece","Total","Males","From 35 to 64 years","Asylum applicant","Person","1,045"
"2013","Greece","Total","Males","65 years or over","Asylum applicant","Person","10"
"2013","Greece","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Greece","Total","Females","Less than 18 years","Asylum applicant","Person","335"
"2013","Greece","Total","Females","From 18 to 34 years","Asylum applicant","Person","975"
"2013","Greece","Total","Females","From 35 to 64 years","Asylum applicant","Person","435"
"2013","Greece","Total","Females","65 years or over","Asylum applicant","Person","10"
"2013","Greece","Total","Females","Unknown","Asylum applicant","Person","0"
"2013","Greece","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2013","Greece","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2013","Greece","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2013","Greece","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2013","Greece","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2013","Spain","Total","Males","Less than 18 years","Asylum applicant","Person","270"
"2013","Spain","Total","Males","From 18 to 34 years","Asylum applicant","Person","2,425"
"2013","Spain","Total","Males","From 35 to 64 years","Asylum applicant","Person","795"
"2013","Spain","Total","Males","65 years or over","Asylum applicant","Person","25"
"2013","Spain","Total","Males","Unknown","Asylum applicant","Person","0"
"2013","Spain","Total","Females","Less than 18 years","Asylum applicant","Person","260"
"2013","Spain","Total","Females","From 18 to 34 years","Asylum applicant","Person","435"
"2013","Spain","Total","Females","From 35 to 64 years","Asylum applicant","Person","260"
"2013","Spain","Total","Females","65 years or over","Asylum applicant","Person","25"
