"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2014","Netherlands","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Netherlands","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Netherlands","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Netherlands","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Austria","Total","Males","Less than 18 years","Asylum applicant","Person","5,550"
"2014","Austria","Total","Males","From 18 to 34 years","Asylum applicant","Person","11,920"
"2014","Austria","Total","Males","From 35 to 64 years","Asylum applicant","Person","3,740"
"2014","Austria","Total","Males","65 years or over","Asylum applicant","Person","70"
"2014","Austria","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Austria","Total","Females","Less than 18 years","Asylum applicant","Person","2,935"
"2014","Austria","Total","Females","From 18 to 34 years","Asylum applicant","Person","2,360"
"2014","Austria","Total","Females","From 35 to 64 years","Asylum applicant","Person","1,415"
"2014","Austria","Total","Females","65 years or over","Asylum applicant","Person","70"
"2014","Austria","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Austria","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Austria","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Austria","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Austria","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Austria","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Poland","Total","Males","Less than 18 years","Asylum applicant","Person","1,700"
"2014","Poland","Total","Males","From 18 to 34 years","Asylum applicant","Person","1,440"
"2014","Poland","Total","Males","From 35 to 64 years","Asylum applicant","Person","1,015"
"2014","Poland","Total","Males","65 years or over","Asylum applicant","Person","25"
"2014","Poland","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Poland","Total","Females","Less than 18 years","Asylum applicant","Person","1,640"
"2014","Poland","Total","Females","From 18 to 34 years","Asylum applicant","Person","1,215"
"2014","Poland","Total","Females","From 35 to 64 years","Asylum applicant","Person","930"
"2014","Poland","Total","Females","65 years or over","Asylum applicant","Person","55"
"2014","Poland","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Poland","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Poland","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Poland","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Poland","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Poland","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Portugal","Total","Males","Less than 18 years","Asylum applicant","Person","35"
"2014","Portugal","Total","Males","From 18 to 34 years","Asylum applicant","Person","160"
"2014","Portugal","Total","Males","From 35 to 64 years","Asylum applicant","Person","70"
"2014","Portugal","Total","Males","65 years or over","Asylum applicant","Person","5"
"2014","Portugal","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Portugal","Total","Females","Less than 18 years","Asylum applicant","Person","40"
"2014","Portugal","Total","Females","From 18 to 34 years","Asylum applicant","Person","90"
"2014","Portugal","Total","Females","From 35 to 64 years","Asylum applicant","Person","35"
"2014","Portugal","Total","Females","65 years or over","Asylum applicant","Person","5"
"2014","Portugal","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Portugal","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Portugal","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Portugal","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Portugal","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Portugal","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Romania","Total","Males","Less than 18 years","Asylum applicant","Person","265"
"2014","Romania","Total","Males","From 18 to 34 years","Asylum applicant","Person","680"
"2014","Romania","Total","Males","From 35 to 64 years","Asylum applicant","Person","240"
"2014","Romania","Total","Males","65 years or over","Asylum applicant","Person","5"
"2014","Romania","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Romania","Total","Females","Less than 18 years","Asylum applicant","Person","110"
"2014","Romania","Total","Females","From 18 to 34 years","Asylum applicant","Person","150"
"2014","Romania","Total","Females","From 35 to 64 years","Asylum applicant","Person","85"
"2014","Romania","Total","Females","65 years or over","Asylum applicant","Person","10"
"2014","Romania","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Romania","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Romania","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Romania","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Romania","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Romania","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Slovenia","Total","Males","Less than 18 years","Asylum applicant","Person","95"
"2014","Slovenia","Total","Males","From 18 to 34 years","Asylum applicant","Person","145"
"2014","Slovenia","Total","Males","From 35 to 64 years","Asylum applicant","Person","55"
"2014","Slovenia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2014","Slovenia","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Slovenia","Total","Females","Less than 18 years","Asylum applicant","Person","25"
"2014","Slovenia","Total","Females","From 18 to 34 years","Asylum applicant","Person","40"
"2014","Slovenia","Total","Females","From 35 to 64 years","Asylum applicant","Person","25"
"2014","Slovenia","Total","Females","65 years or over","Asylum applicant","Person","0"
"2014","Slovenia","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Slovenia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Slovenia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Slovenia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Slovenia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Slovenia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Slovakia","Total","Males","Less than 18 years","Asylum applicant","Person","35"
"2014","Slovakia","Total","Males","From 18 to 34 years","Asylum applicant","Person","165"
"2014","Slovakia","Total","Males","From 35 to 64 years","Asylum applicant","Person","60"
"2014","Slovakia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2014","Slovakia","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Slovakia","Total","Females","Less than 18 years","Asylum applicant","Person","25"
"2014","Slovakia","Total","Females","From 18 to 34 years","Asylum applicant","Person","30"
"2014","Slovakia","Total","Females","From 35 to 64 years","Asylum applicant","Person","15"
"2014","Slovakia","Total","Females","65 years or over","Asylum applicant","Person","0"
"2014","Slovakia","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Slovakia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Slovakia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Slovakia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Slovakia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Slovakia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Finland","Total","Males","Less than 18 years","Asylum applicant","Person","505"
"2014","Finland","Total","Males","From 18 to 34 years","Asylum applicant","Person","1,500"
"2014","Finland","Total","Males","From 35 to 64 years","Asylum applicant","Person","555"
"2014","Finland","Total","Males","65 years or over","Asylum applicant","Person","15"
"2014","Finland","Total","Males","Unknown","Asylum applicant","Person","15"
"2014","Finland","Total","Females","Less than 18 years","Asylum applicant","Person","320"
"2014","Finland","Total","Females","From 18 to 34 years","Asylum applicant","Person","475"
"2014","Finland","Total","Females","From 35 to 64 years","Asylum applicant","Person","215"
"2014","Finland","Total","Females","65 years or over","Asylum applicant","Person","15"
"2014","Finland","Total","Females","Unknown","Asylum applicant","Person","5"
"2014","Finland","Total","Unknown","Less than 18 years","Asylum applicant","Person","5"
"2014","Finland","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","5"
"2014","Finland","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Finland","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Finland","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Sweden","Total","Males","Less than 18 years","Asylum applicant","Person","14,520"
"2014","Sweden","Total","Males","From 18 to 34 years","Asylum applicant","Person","26,770"
"2014","Sweden","Total","Males","From 35 to 64 years","Asylum applicant","Person","13,065"
"2014","Sweden","Total","Males","65 years or over","Asylum applicant","Person","505"
"2014","Sweden","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Sweden","Total","Females","Less than 18 years","Asylum applicant","Person","8,815"
"2014","Sweden","Total","Females","From 18 to 34 years","Asylum applicant","Person","10,940"
"2014","Sweden","Total","Females","From 35 to 64 years","Asylum applicant","Person","6,080"
"2014","Sweden","Total","Females","65 years or over","Asylum applicant","Person","630"
"2014","Sweden","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Sweden","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Sweden","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Sweden","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Sweden","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Sweden","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","UK","Total","Males","Less than 18 years","Asylum applicant","Person","4,345"
"2014","UK","Total","Males","From 18 to 34 years","Asylum applicant","Person","12,375"
"2014","UK","Total","Males","From 35 to 64 years","Asylum applicant","Person","4,250"
"2014","UK","Total","Males","65 years or over","Asylum applicant","Person","200"
"2014","UK","Total","Males","Unknown","Asylum applicant","Person","850"
"2014","UK","Total","Females","Less than 18 years","Asylum applicant","Person","2,690"
"2014","UK","Total","Females","From 18 to 34 years","Asylum applicant","Person","5,005"
"2014","UK","Total","Females","From 35 to 64 years","Asylum applicant","Person","2,500"
"2014","UK","Total","Females","65 years or over","Asylum applicant","Person","225"
"2014","UK","Total","Females","Unknown","Asylum applicant","Person","545"
"2014","UK","Total","Unknown","Less than 18 years","Asylum applicant","Person","5"
"2014","UK","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","UK","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","UK","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","UK","Total","Unknown","Unknown","Asylum applicant","Person","25"
"2014","Iceland","Total","Males","Less than 18 years","Asylum applicant","Person","20"
"2014","Iceland","Total","Males","From 18 to 34 years","Asylum applicant","Person","65"
"2014","Iceland","Total","Males","From 35 to 64 years","Asylum applicant","Person","40"
"2014","Iceland","Total","Males","65 years or over","Asylum applicant","Person","0"
"2014","Iceland","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Iceland","Total","Females","Less than 18 years","Asylum applicant","Person","15"
"2014","Iceland","Total","Females","From 18 to 34 years","Asylum applicant","Person","20"
"2014","Iceland","Total","Females","From 35 to 64 years","Asylum applicant","Person","10"
"2014","Iceland","Total","Females","65 years or over","Asylum applicant","Person","0"
"2014","Iceland","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Iceland","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Iceland","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Iceland","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Iceland","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Iceland","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Males","Less than 18 years","Asylum applicant","Person","10"
"2014","Liechtenstein","Total","Males","From 18 to 34 years","Asylum applicant","Person","15"
"2014","Liechtenstein","Total","Males","From 35 to 64 years","Asylum applicant","Person","20"
"2014","Liechtenstein","Total","Males","65 years or over","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Females","Less than 18 years","Asylum applicant","Person","10"
"2014","Liechtenstein","Total","Females","From 18 to 34 years","Asylum applicant","Person","10"
"2014","Liechtenstein","Total","Females","From 35 to 64 years","Asylum applicant","Person","5"
"2014","Liechtenstein","Total","Females","65 years or over","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Liechtenstein","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Norway","Total","Males","Less than 18 years","Asylum applicant","Person","1,625"
"2014","Norway","Total","Males","From 18 to 34 years","Asylum applicant","Person","5,310"
"2014","Norway","Total","Males","From 35 to 64 years","Asylum applicant","Person","1,665"
"2014","Norway","Total","Males","65 years or over","Asylum applicant","Person","25"
"2014","Norway","Total","Males","Unknown","Asylum applicant","Person","0"
"2014","Norway","Total","Females","Less than 18 years","Asylum applicant","Person","795"
"2014","Norway","Total","Females","From 18 to 34 years","Asylum applicant","Person","1,560"
"2014","Norway","Total","Females","From 35 to 64 years","Asylum applicant","Person","465"
"2014","Norway","Total","Females","65 years or over","Asylum applicant","Person","35"
"2014","Norway","Total","Females","Unknown","Asylum applicant","Person","0"
"2014","Norway","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Norway","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Norway","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Norway","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Norway","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2014","Switzerland","Total","Males","Less than 18 years","Asylum applicant","Person","3,815"
"2014","Switzerland","Total","Males","From 18 to 34 years","Asylum applicant","Person","10,085"
"2014","Switzerland","Total","Males","From 35 to 64 years","Asylum applicant","Person","2,795"
"2014","Switzerland","Total","Males","65 years or over","Asylum applicant","Person","55"
"2014","Switzerland","Total","Males","Unknown","Asylum applicant","Person","10"
"2014","Switzerland","Total","Females","Less than 18 years","Asylum applicant","Person","2,965"
"2014","Switzerland","Total","Females","From 18 to 34 years","Asylum applicant","Person","2,815"
"2014","Switzerland","Total","Females","From 35 to 64 years","Asylum applicant","Person","1,150"
"2014","Switzerland","Total","Females","65 years or over","Asylum applicant","Person","60"
"2014","Switzerland","Total","Females","Unknown","Asylum applicant","Person","10"
"2014","Switzerland","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2014","Switzerland","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2014","Switzerland","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2014","Switzerland","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2014","Switzerland","Total","Unknown","Unknown","Asylum applicant","Person","10"
"2015","Belgium","Total","Males","Less than 18 years","Asylum applicant","Person","8,745"
"2015","Belgium","Total","Males","From 18 to 34 years","Asylum applicant","Person","17,090"
"2015","Belgium","Total","Males","From 35 to 64 years","Asylum applicant","Person","5,690"
"2015","Belgium","Total","Males","65 years or over","Asylum applicant","Person","160"
"2015","Belgium","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Belgium","Total","Females","Less than 18 years","Asylum applicant","Person","4,910"
"2015","Belgium","Total","Females","From 18 to 34 years","Asylum applicant","Person","5,225"
"2015","Belgium","Total","Females","From 35 to 64 years","Asylum applicant","Person","2,785"
"2015","Belgium","Total","Females","65 years or over","Asylum applicant","Person","155"
"2015","Belgium","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Belgium","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Belgium","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Belgium","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Belgium","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Belgium","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Bulgaria","Total","Males","Less than 18 years","Asylum applicant","Person","3,750"
"2015","Bulgaria","Total","Males","From 18 to 34 years","Asylum applicant","Person","10,835"
"2015","Bulgaria","Total","Males","From 35 to 64 years","Asylum applicant","Person","1,520"
"2015","Bulgaria","Total","Males","65 years or over","Asylum applicant","Person","30"
"2015","Bulgaria","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Bulgaria","Total","Females","Less than 18 years","Asylum applicant","Person","1,745"
"2015","Bulgaria","Total","Females","From 18 to 34 years","Asylum applicant","Person","1,750"
"2015","Bulgaria","Total","Females","From 35 to 64 years","Asylum applicant","Person","725"
"2015","Bulgaria","Total","Females","65 years or over","Asylum applicant","Person","35"
"2015","Bulgaria","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Bulgaria","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Bulgaria","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Bulgaria","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Bulgaria","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Bulgaria","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Czechia","Total","Males","Less than 18 years","Asylum applicant","Person","160"
"2015","Czechia","Total","Males","From 18 to 34 years","Asylum applicant","Person","465"
"2015","Czechia","Total","Males","From 35 to 64 years","Asylum applicant","Person","395"
"2015","Czechia","Total","Males","65 years or over","Asylum applicant","Person","10"
"2015","Czechia","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Czechia","Total","Females","Less than 18 years","Asylum applicant","Person","110"
"2015","Czechia","Total","Females","From 18 to 34 years","Asylum applicant","Person","210"
"2015","Czechia","Total","Females","From 35 to 64 years","Asylum applicant","Person","155"
"2015","Czechia","Total","Females","65 years or over","Asylum applicant","Person","15"
"2015","Czechia","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Czechia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Czechia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Czechia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Czechia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Czechia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Denmark","Total","Males","Less than 18 years","Asylum applicant","Person","4,160"
"2015","Denmark","Total","Males","From 18 to 34 years","Asylum applicant","Person","8,115"
"2015","Denmark","Total","Males","From 35 to 64 years","Asylum applicant","Person","2,455"
"2015","Denmark","Total","Males","65 years or over","Asylum applicant","Person","65"
"2015","Denmark","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Denmark","Total","Females","Less than 18 years","Asylum applicant","Person","2,165"
"2015","Denmark","Total","Females","From 18 to 34 years","Asylum applicant","Person","2,825"
"2015","Denmark","Total","Females","From 35 to 64 years","Asylum applicant","Person","1,120"
"2015","Denmark","Total","Females","65 years or over","Asylum applicant","Person","65"
"2015","Denmark","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Denmark","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Denmark","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Denmark","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Denmark","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Denmark","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Germany","Total","Males","Less than 18 years","Asylum applicant","Person","85,710"
"2015","Germany","Total","Males","From 18 to 34 years","Asylum applicant","Person","180,110"
"2015","Germany","Total","Males","From 35 to 64 years","Asylum applicant","Person","58,570"
"2015","Germany","Total","Males","65 years or over","Asylum applicant","Person","1,250"
"2015","Germany","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Germany","Total","Females","Less than 18 years","Asylum applicant","Person","61,875"
"2015","Germany","Total","Females","From 18 to 34 years","Asylum applicant","Person","56,300"
"2015","Germany","Total","Females","From 35 to 64 years","Asylum applicant","Person","30,500"
"2015","Germany","Total","Females","65 years or over","Asylum applicant","Person","1,435"
"2015","Germany","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Germany","Total","Unknown","Less than 18 years","Asylum applicant","Person","660"
"2015","Germany","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","170"
"2015","Germany","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","40"
"2015","Germany","Total","Unknown","65 years or over","Asylum applicant","Person","5"
"2015","Germany","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Estonia","Total","Males","Less than 18 years","Asylum applicant","Person","40"
"2015","Estonia","Total","Males","From 18 to 34 years","Asylum applicant","Person","80"
"2015","Estonia","Total","Males","From 35 to 64 years","Asylum applicant","Person","30"
"2015","Estonia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2015","Estonia","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Estonia","Total","Females","Less than 18 years","Asylum applicant","Person","25"
"2015","Estonia","Total","Females","From 18 to 34 years","Asylum applicant","Person","25"
"2015","Estonia","Total","Females","From 35 to 64 years","Asylum applicant","Person","20"
"2015","Estonia","Total","Females","65 years or over","Asylum applicant","Person","10"
"2015","Estonia","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Estonia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Estonia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Estonia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Estonia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Estonia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Ireland","Total","Males","Less than 18 years","Asylum applicant","Person","220"
"2015","Ireland","Total","Males","From 18 to 34 years","Asylum applicant","Person","1,895"
"2015","Ireland","Total","Males","From 35 to 64 years","Asylum applicant","Person","490"
"2015","Ireland","Total","Males","65 years or over","Asylum applicant","Person","10"
"2015","Ireland","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Ireland","Total","Females","Less than 18 years","Asylum applicant","Person","165"
"2015","Ireland","Total","Females","From 18 to 34 years","Asylum applicant","Person","335"
"2015","Ireland","Total","Females","From 35 to 64 years","Asylum applicant","Person","150"
"2015","Ireland","Total","Females","65 years or over","Asylum applicant","Person","10"
"2015","Ireland","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Ireland","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Ireland","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Ireland","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Ireland","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Ireland","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Greece","Total","Males","Less than 18 years","Asylum applicant","Person","1,535"
"2015","Greece","Total","Males","From 18 to 34 years","Asylum applicant","Person","6,205"
"2015","Greece","Total","Males","From 35 to 64 years","Asylum applicant","Person","2,095"
"2015","Greece","Total","Males","65 years or over","Asylum applicant","Person","35"
"2015","Greece","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Greece","Total","Females","Less than 18 years","Asylum applicant","Person","965"
"2015","Greece","Total","Females","From 18 to 34 years","Asylum applicant","Person","1,465"
"2015","Greece","Total","Females","From 35 to 64 years","Asylum applicant","Person","855"
"2015","Greece","Total","Females","65 years or over","Asylum applicant","Person","50"
"2015","Greece","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Greece","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Greece","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Greece","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Greece","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Greece","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Spain","Total","Males","Less than 18 years","Asylum applicant","Person","1,955"
"2015","Spain","Total","Males","From 18 to 34 years","Asylum applicant","Person","4,920"
"2015","Spain","Total","Males","From 35 to 64 years","Asylum applicant","Person","2,060"
"2015","Spain","Total","Males","65 years or over","Asylum applicant","Person","60"
"2015","Spain","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Spain","Total","Females","Less than 18 years","Asylum applicant","Person","1,770"
"2015","Spain","Total","Females","From 18 to 34 years","Asylum applicant","Person","2,430"
"2015","Spain","Total","Females","From 35 to 64 years","Asylum applicant","Person","1,475"
"2015","Spain","Total","Females","65 years or over","Asylum applicant","Person","110"
"2015","Spain","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Spain","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Spain","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Spain","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Spain","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Spain","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","France","Total","Males","Less than 18 years","Asylum applicant","Person","7,115"
"2015","France","Total","Males","From 18 to 34 years","Asylum applicant","Person","29,230"
"2015","France","Total","Males","From 35 to 64 years","Asylum applicant","Person","12,230"
"2015","France","Total","Males","65 years or over","Asylum applicant","Person","390"
"2015","France","Total","Males","Unknown","Asylum applicant","Person","10"
"2015","France","Total","Females","Less than 18 years","Asylum applicant","Person","6,905"
"2015","France","Total","Females","From 18 to 34 years","Asylum applicant","Person","12,385"
"2015","France","Total","Females","From 35 to 64 years","Asylum applicant","Person","7,355"
"2015","France","Total","Females","65 years or over","Asylum applicant","Person","545"
"2015","France","Total","Females","Unknown","Asylum applicant","Person","5"
"2015","France","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","France","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","France","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","France","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","France","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Croatia","Total","Males","Less than 18 years","Asylum applicant","Person","15"
"2015","Croatia","Total","Males","From 18 to 34 years","Asylum applicant","Person","120"
"2015","Croatia","Total","Males","From 35 to 64 years","Asylum applicant","Person","55"
"2015","Croatia","Total","Males","65 years or over","Asylum applicant","Person","0"
"2015","Croatia","Total","Males","Unknown","Asylum applicant","Person","0"
"2015","Croatia","Total","Females","Less than 18 years","Asylum applicant","Person","5"
"2015","Croatia","Total","Females","From 18 to 34 years","Asylum applicant","Person","10"
"2015","Croatia","Total","Females","From 35 to 64 years","Asylum applicant","Person","5"
"2015","Croatia","Total","Females","65 years or over","Asylum applicant","Person","0"
"2015","Croatia","Total","Females","Unknown","Asylum applicant","Person","0"
"2015","Croatia","Total","Unknown","Less than 18 years","Asylum applicant","Person","0"
"2015","Croatia","Total","Unknown","From 18 to 34 years","Asylum applicant","Person","0"
"2015","Croatia","Total","Unknown","From 35 to 64 years","Asylum applicant","Person","0"
"2015","Croatia","Total","Unknown","65 years or over","Asylum applicant","Person","0"
"2015","Croatia","Total","Unknown","Unknown","Asylum applicant","Person","0"
"2015","Italy","Total","Males","Less than 18 years","Asylum applicant","Person","5,655"
"2015","Italy","Total","Males","From 18 to 34 years","Asylum applicant","Person","61,470"
"2015","Italy","Total","Males","From 35 to 64 years","Asylum applicant","Person","6,725"
"2015","Italy","Total","Males","65 years or over","Asylum applicant","Person","25"
"2015","Italy","Total","Males","Unknown","Asylum applicant","Person","5"
"2015","Italy","Total","Females","Less than 18 years","Asylum applicant","Person","1,635"
